,asofdate,aic,bic,hqic,mae,mse,forecastHorizon,diff,trainDFLength,num_models,order_p,order_q,time,product_name,ar.L1.resid,ar.L2.resid,ma.L1.resid,ma.L2.resid
0,252,63.09138876396992,84.26796328903845,71.61240361665021,0.1742965466689498,0.07168930428522183,5,False,252,100,2,2,0 days 00:00:00.488697,OJ,0.8296657754440074,0.17641818154238248,0.826782823666748,0.2777437317831069
1,257,-7.3173223529539655,13.859252172114573,1.2036924997263263,0.15842154852599968,0.05569112735576666,5,False,252,100,2,2,0 days 00:00:01.072335,OJ,0.04241696006615195,0.03910007170638421,0.010900766697128323,0.0318027823150864
2,262,-90.32462464042135,-69.14805011535282,-81.80360978774105,0.14788207184679825,0.03906224768199785,5,False,252,100,2,2,0 days 00:00:00.577659,OJ,0.08614058363698855,0.11381905995200274,0.09691149012872663,0.11216569428557742
3,267,-93.13009835140952,-71.95352382634098,-84.60908349872922,0.14683223157644268,0.03867965578744133,5,False,252,100,2,2,0 days 00:00:01.121907,OJ,0.20051829596654272,0.18977851056137657,0.21296510832183344,0.21258718450419326
4,272,-98.36310520257337,-77.18653067750483,-89.84209034989307,0.14531366486280312,0.03786124475433982,5,False,252,100,2,2,0 days 00:00:01.737806,OJ,0.03571263399492023,0.035595505855483295,,
5,277,-119.13684450790481,-97.96026998283628,-110.61582965522452,0.13943767908838225,0.034878070970206676,5,False,252,100,2,2,0 days 00:00:00.445870,OJ,0.23530552778226396,0.22051699743046002,0.246278009509454,0.2460185805082707
6,282,-116.00859242731815,-94.83201790224962,-107.48757757463785,0.13998576181296277,0.035352839523387115,5,False,252,100,2,2,0 days 00:00:00.662279,OJ,0.023413032342561365,0.02350893822995757,0.012262123827943722,0.012262123748889877
7,287,-156.30512523437005,-135.12855070930152,-147.78411038168977,0.13263070507623875,0.030148933883636785,5,False,252,100,2,2,0 days 00:00:00.620392,OJ,0.04363104284580066,0.033347022146713395,0.017074142461545153,0.045158870179148124
8,292,-150.81019107907787,-129.63361655400934,-142.2891762263976,0.13324302322267934,0.03074278936221899,5,False,252,100,2,2,0 days 00:00:00.594712,OJ,0.27030694203995964,0.25594381195324856,0.2786892281599591,0.27849552304643577
9,297,-158.40540258101828,-137.22882805594975,-149.884387728338,0.13215843553558704,0.029965841415663413,5,False,252,100,2,2,0 days 00:00:00.582928,OJ,0.0428465921157577,0.03386704857980616,0.01607949636960587,0.02637995295554013
10,302,-150.46553922046576,-129.28896469539723,-141.94452436778548,0.13345848021204307,0.030764961878209405,5,False,252,100,2,2,0 days 00:00:00.464553,OJ,0.3079629231927938,0.29552729283657686,0.31750231221305214,0.3173395268709546
11,307,-144.4906873943703,-123.31411286930177,-135.96967254169002,0.1364824628555493,0.03158648188818287,5,False,252,100,2,2,0 days 00:00:00.487667,OJ,0.03693671510229369,0.034018173958760126,0.011727740534301406,0.037358547601265446
12,312,-151.25314662487392,-130.0765720998054,-142.73213177219364,0.13465288995546004,0.030779702751957964,5,False,252,100,2,2,0 days 00:00:00.587516,OJ,0.038393616971670604,0.03378036340181505,0.012591918769710306,0.021408919436479903
13,317,-158.5889723908465,-137.41239786577796,-150.0679575381662,0.13235750483132705,0.02991847884455989,5,False,252,100,2,2,0 days 00:00:00.612704,OJ,0.03926410398096726,0.03351391127490118,0.013605711980346291,0.019128783642643785
14,322,-155.49992336580237,-134.32334884073384,-146.9789085131221,0.13214335418509812,0.03021052262176541,5,False,252,100,2,2,0 days 00:00:00.459041,OJ,0.015399981471326606,0.008056100332926924,0.015591251892672757,0.028055256382354756
15,327,-171.75614665675994,-150.5795721316914,-163.23513180407966,0.12644378126351238,0.028289698636646092,5,False,252,100,2,2,0 days 00:00:00.562918,OJ,0.42327782791234053,0.40139910777124516,0.4323877267461237,0.4322353441993586
16,332,-187.72039185668132,-166.5438173316128,-179.19937700400104,0.1224517715203793,0.026503559180079263,5,False,252,100,2,2,0 days 00:00:00.345159,OJ,0.7284344599183518,0.402772001437207,0.7349363002627177,0.3829466729480417
17,337,-193.45477220295368,-172.27819767788515,-184.9337573502734,0.12350675744442363,0.025919277612053947,5,False,252,100,2,2,0 days 00:00:00.339007,OJ,0.3109140712540167,0.169263627734367,0.2916779342695486,0.16074351136641246
18,342,-198.42360760393763,-177.2470330788691,-189.90259275125734,0.12109993741671667,0.02540850732429584,5,False,252,100,2,2,0 days 00:00:00.273994,OJ,1.2733540509607253,0.44303621999473797,1.272123725048827,0.3270691160843461
19,347,-199.39849419821257,-178.22191967314404,-190.8774793455323,0.12098548718014895,0.025312394279353268,5,False,252,100,2,2,0 days 00:00:00.519338,OJ,0.28645272141349426,0.27544249270701415,0.30487688586152284,0.30472234217123856
