Year,Beginning stocks,Production,Imports,      TOTAL SUPPLY,Domestic,Exports,      TOTAL USAGE,ENDING STOCKS,STOCK/USE (%)
1973,183,19674,0,19857,13802,5548,19350,507,0.02620155
1974,507,16702,0,17209,12552,4299,16851,358,0.02124503
1975,358,20754,0,21112,15612,5145,20757,355,0.017102664
1976,355,18488,0,18843,14056,4559,18615,228,0.012248187
1977,228,22371,0,22599,16276,6080,22356,243,0.010869565
1978,243,24354,0,24597,17720,6610,24330,267,0.010974106
1979,267,27105,0,27372,19214,7932,27146,226,0.008325352
1980,226,25312,0,24538,17591,6784,24375,163,0.006687179
1981,163,24634,0,24797,17714,6908,24622,175,0.007107465
1982,175,26714,0,26889,19306,7109,26415,474,0.01794435
1983,474,22756,0,23230,17615,5360,22977,255,0.011098055
1984,255,24529,0,24784,19480,4917,24397,387,0.015862606
1985,387,24951,0,25338,19090,6036,25126,212,0.008437475
1986,212,27758,0,27970,20387,7343,27730,240,0.008654886
1987,240,28060,0,28300,21293,6854,28147,153,0.005435748
1988,153,24943,4,25100,19657,5270,24927,173,0.006940266
1989,173,27719,8,27900,22558,5024,27582,318,0.011529258
1990,318,28325,23,28666,22912,5469,28381,285,0.010041929
1991,285,29831,67,30183,23008,6945,29953,230,0.007678697
1992,230,30364,93,30687,24251,6232,30483,204,0.006692255
1993,204,30514,69,30788,25283,5356,30638,150,0.004895881
1994,150,33270,64,33483,26542,6717,33260,223,0.00670475
1995,223,32527,75,32826,26611,6002,32613,212,0.006500475
1996,212,34210,102,34524,27320,6994,34314,210,0.006119951
1997,210,38176,56,38443,28895,9329,38225,218,0.005703074
1998,218,37792,99,38109,30657,7122,37779,330,0.008735012
1999,330,37591,49,37970,30346,7331,37678,293,0.007776421
2000,293,39385,51,39729,31643,7703,39346,383,0.009734153
2001,383,40292,143,40819,33070,7508,40579,240,0.005914389
2002,240,38213,166,38619,32379,6019,38399,220,0.005729316
2003,220,36325,285,36830,31449,5170,36619,211,0.005762036
2004,211,40715,147,41073,33561,7340,40901,172,0.004205276
2005,172,41244,141,41557,33195,8048,41243,314,0.007613413
2006,314,43054,156,43524,34374,8804,43178,343,0.00794386
2007,343,42284,141,42768,33232,9242,42474,294,0.006921882
2008,294,39102,88,39484,30752,8497,39249,235,0.005987414
2009,235,41707,160,42102,30640,11160,41800,302,0.00722488
2010,302,39251,180,39733,30301,9082,39383,350,0.008887083
2011,350,41025,216,41591,31548,9743,41291,300,0.007265506
2012,300,39875,245,40420,28969,11176,40145,275,0.006850168
2013,275,40685,383,41343,29547,11546,41093,250,0.006083761
2014,250,45062,333,45645,32235,13150,45385,260,0.005728765
2015,260,44672,403,45335,33118,11954,45072,264,0
2016,264,44361,350,44975,33050,11600,44650,325,0
2017,325,46075,300,46700,34200,12200,46400,300,0
